,current,name,gender,function,category,country_code,country,disciplines,age
0,True,PEDRERO Ofelia,Female,Coach,C,MEX,Mexico,Artistic Swimming,36
1,True,RADHI SHENAISHIL,Male,Head Coach,C,IRQ,Iraq,Football,59
2,True,AFLAKIKHAMSEH Majid,Male,Coach,C,IRI,IR Iran,Taekwondo,50
3,True,YOUSEFY Mehrdad,Male,Coach,C,IRI,IR Iran,Taekwondo,52
4,True,MADDAH Minoo,Female,Coach,C,IRI,IR Iran,Taekwondo,48
5,True,LOFTUS Adriana,Female,Coach,C,MEX,Mexico,Artistic Swimming,66
6,True,FERRARA Fernando,Male,Head Coach,C,ARG,Argentina,Hockey,56
7,True,GULLA Alejandra,Female,Assistant Coach,C,ARG,Argentina,Hockey,47
8,True,CAPURRO Santiago,Male,Assistant Coach,C,ARG,Argentina,Hockey,49
9,True,RONCONI Mariano,Male,Head Coach,C,ARG,Argentina,Hockey,Age unavaible
10,True,PAULON Ezequiel,Male,Assistant Coach,C,ARG,Argentina,Hockey,Age unavaible
11,True,VILA Matias,Male,Assistant Coach,C,ARG,Argentina,Hockey,Age unavaible
12,True,KHEIRKHAH HAJIRASOULIAN Mohammadre.,Male,Coach,C,IRI,IR Iran,Artistic Gymnastics,59
13,True,DAVIS DIAZ David,Male,Coach,C,MEX,Mexico,Taekwondo,46
14,True,MENDOZA MORA Abel,Male,Coach,C,MEX,Mexico,Taekwondo,36
15,True,VICTORIA ESPINOSA de los Alfonso,Male,Coach,C,MEX,Mexico,Taekwondo,39
16,True,MILANO Guillermo,Male,Head Coach,C,ARG,Argentina,Handball,51
17,True,GOMEZ CORA Santiago,Male,Head Coach,C,ARG,Argentina,Rugby Sevens,46
18,True,GRAVANO Leonardo,Male,Assistant Coach,C,ARG,Argentina,Rugby Sevens,50
19,True,FILIORIANU Ana Luiza,Female,Coach,C,ROU,Romania,Rhythmic Gymnastics,25
20,True,SMAILI Badr,Male,Coach,C,MAR,Morocco,Taekwondo,31
21,True,OCEGUERA ORNELAS Pavel,Male,Coach,C,MEX,Mexico,Artistic Gymnastics,52
22,True,VALENZUELA GOMEZ Maria,Female,Coach,C,MEX,Mexico,Artistic Gymnastics,48
23,True,MEZA PADILLA Jose,Male,Coach,C,MEX,Mexico,Artistic Gymnastics,47
24,True,AGUILAR ROJAS Blajaith,Female,Coach,C,MEX,Mexico,Rhythmic Gymnastics,32
25,True,FURALEV Vladislav,Male,Coach,C,MEX,Mexico,Rhythmic Gymnastics,54
26,True,UPTON Patrick Anthony Howard,Male,Coach,C,IND,India,Hockey,55
27,True,SCHOPMAN Johanna Dorothea Maria,Female,Coach,C,IND,India,Hockey,47
28,True,HALKETT Rhett Kennedy,Male,Assistant Coach,C,IND,India,Hockey,38
29,True,FULTON Craig Arthur,Male,Head Coach,C,IND,India,Hockey,49
30,True,FARRY Anthony James,Male,Coach,C,IND,India,Hockey,51
31,True,THORPE Karen,Female,Coach,C,GBR,Great Britain,Artistic Swimming,51
