medal_type,name,gender,country_code,nationality,discipline,birth_date,is_medallist
Gold ,EVENEPOEL Remco,Male,BEL,Belgium,Cycling Road,2000-01-25,True
Silver ,GANNA Filippo,Male,ITA,Italy,Cycling Road,1996-07-25,True
Bronze ,van AERT Wout,Male,BEL,Belgium,Cycling Road,1994-09-15,True
Gold ,BROWN Grace,Female,AUS,Australia,Cycling Road,1992-07-07,True
Silver ,HENDERSON Anna,Female,GBR,Great Britain,Cycling Road,1998-11-14,True
Bronze ,DYGERT Chloe,Female,USA,United States,Cycling Road,1997-01-01,True
Gold ,OH Sanguk,Male,KOR,Korea,Fencing,1996-09-30,True
Silver ,FERJANI Fares,Male,TUN,Tunisia,Fencing,1997-07-22,True
Bronze ,SAMELE Luigi,Male,ITA,Italy,Fencing,1987-07-25,True
Gold ,KONG Man Wai Vivian,Female,HKG,"Hong Kong, China",Fencing,1994-02-08,True
Silver ,MALLO-BRETON Auriane,Female,FRA,France,Fencing,1993-10-11,True
Bronze ,MUHARI Eszter,Female,HUN,Hungary,Fencing,2002-09-30,True
Gold ,SMETOV Yeldos,Male,KAZ,Kazakhstan,Judo,1992-09-09,True
Silver ,MKHEIDZE Luka,Male,FRA,France,Judo,1996-01-05,True
Bronze ,NAGAYAMA Ryuju,Male,JPN,Japan,Judo,1996-04-15,True
Bronze ,GARRIGOS Francisco,Male,ESP,Spain,Judo,1994-12-09,True
Gold ,TSUNODA Natsumi,Female,JPN,Japan,Judo,1992-08-06,True
Silver ,BAVUUDORJ Baasankhuu,Female,MGL,Mongolia,Judo,1999-11-26,True
Bronze ,BOUKLI Shirine,Female,FRA,France,Judo,1999-01-24,True
Bronze ,BABULFATH Tara,Female,SWE,Sweden,Judo,2006-01-03,True
Gold ,MAERTENS Lukas,Male,GER,Germany,Swimming,2001-12-27,True
Silver ,WINNINGTON Elijah,Male,AUS,Australia,Swimming,2000-05-05,True
Bronze ,KIM Woomin,Male,KOR,Korea,Swimming,2001-08-24,True
Gold ,TITMUS Ariarne,Female,AUS,Australia,Swimming,2000-09-07,True
Silver ,McINTOSH Summer,Female,CAN,Canada,Swimming,2006-08-18,True
Bronze ,LEDECKY Katie,Female,USA,United States,Swimming,1997-03-17,True
Gold ,FOX Jessica,Female,AUS,Australia,Canoe Slalom,1994-06-11,True
Silver ,ZWOLINSKA Klaudia,Female,POL,Poland,Canoe Slalom,1998-12-18,True
Bronze ,WOODS Kimberley,Female,GBR,Great Britain,Canoe Slalom,1995-09-08,True
Gold ,FERRAND PREVOT Pauline,Female,FRA,France,Cycling Mountain Bike,1992-02-10,True
Silver ,BATTEN Haley,Female,USA,United States,Cycling Mountain Bike,1998-09-19,True
Bronze ,RISSVEDS Jenny,Female,SWE,Sweden,Cycling Mountain Bike,1994-06-06,True
Gold ,KANO Koki,Male,JPN,Japan,Fencing,1997-12-19,True
Silver ,BOREL Yannick,Male,FRA,France,Fencing,1988-11-05,True
Bronze ,ELSAYED Mohamed,Male,EGY,Egypt,Fencing,2003-03-03,True
Gold ,KIEFER Lee,Female,USA,United States,Fencing,1994-06-15,True
Silver ,SCRUGGS Lauren,Female,USA,United States,Fencing,2003-01-27,True
Bronze ,HARVEY Eleanor,Female,CAN,Canada,Fencing,1995-01-14,True
Gold ,ABE Hifumi,Male,JPN,Japan,Judo,1997-08-09,True
Silver ,LIMA Willian,Male,BRA,Brazil,Judo,2000-01-31,True
Bronze ,KYRGYZBAYEV Gusman,Male,KAZ,Kazakhstan,Judo,1992-09-28,True
Bronze ,VIERU Denis,Male,MDA,Republic of Moldova,Judo,1996-03-10,True
Gold ,KELDIYOROVA Diyora,Female,UZB,Uzbekistan,Judo,1998-07-13,True
Silver ,KRASNIQI Distria,Female,KOS,Kosovo,Judo,1995-12-10,True
Bronze ,PIMENTA Larissa,Female,BRA,Brazil,Judo,1999-03-01,True
Bronze ,BUCHARD Amandine,Female,FRA,France,Judo,1995-07-12,True
Gold ,XIE Yu,Male,CHN,China,Shooting,2000-06-12,True
Silver ,MALDINI Federico Nilo,Male,ITA,Italy,Shooting,2001-03-28,True
Bronze ,MONNA Paolo,Male,ITA,Italy,Shooting,1998-04-19,True
Gold ,OH Ye Jin,Female,KOR,Korea,Shooting,2005-05-10,True
Silver ,KIM Yeji,Female,KOR,Korea,Shooting,1992-09-04,True
Bronze ,BHAKER Manu,Female,IND,India,Shooting,2002-02-18,True
Gold ,YOSHIZAWA Coco,Female,JPN,Japan,Skateboarding,2009-09-22,True
Silver ,AKAMA Liz,Female,JPN,Japan,Skateboarding,2009-01-08,True
Bronze ,LEAL Rayssa,Female,BRA,Brazil,Skateboarding,2008-01-04,True
Gold ,MARTINENGHI Nicolo,Male,ITA,Italy,Swimming,1999-08-01,True
Silver ,PEATY Adam,Male,GBR,Great Britain,Swimming,1994-12-28,True
Silver ,FINK Nic,Male,USA,United States,Swimming,1993-07-03,True
Gold ,MARCHAND Leon,Male,FRA,France,Swimming,2002-05-17,True
Silver ,MATSUSHITA Tomoyuki,Male,JPN,Japan,Swimming,2005-08-01,True
Bronze ,FOSTER Carson,Male,USA,United States,Swimming,2001-10-26,True
Gold ,HUSKE Torri,Female,USA,United States,Swimming,2002-12-07,True
Silver ,WALSH Gretchen,Female,USA,United States,Swimming,2003-01-29,True
Bronze ,ZHANG Yufei,Female,CHN,China,Swimming,1998-04-19,True
Gold ,GESTIN Nicolas,Male,FRA,France,Canoe Slalom,2000-03-14,True
Silver ,BURGESS Adam,Male,GBR,Great Britain,Canoe Slalom,1992-07-17,True
Bronze ,BENUS Matej,Male,SVK,Slovakia,Canoe Slalom,1987-11-02,True
Gold ,PIDCOCK Thomas,Male,GBR,Great Britain,Cycling Mountain Bike,1999-07-30,True
Silver ,KORETZKY Victor,Male,FRA,France,Cycling Mountain Bike,1994-08-26,True
Bronze ,HATHERLY Alan,Male,RSA,South Africa,Cycling Mountain Bike,1996-03-15,True
Gold ,JUNG Michael,Male,GER,Germany,Equestrian,1982-07-31,True
Silver ,BURTON Christopher,Male,AUS,Australia,Equestrian,1981-11-22,True
Bronze ,COLLETT Laura,Female,GBR,Great Britain,Equestrian,1989-08-31,True
Gold ,CHEUNG Ka Long,Male,HKG,"Hong Kong, China",Fencing,1997-06-10,True
Silver ,MACCHI Filippo,Male,ITA,Italy,Fencing,2001-09-19,True
Bronze ,ITKIN Nick,Male,USA,United States,Fencing,1999-10-09,True
Gold ,APITHY-BRUNET Manon,Female,FRA,France,Fencing,1996-02-07,True
Silver ,BALZER Sara,Female,FRA,France,Fencing,1995-04-03,True
Bronze ,KHARLAN Olga,Female,UKR,Ukraine,Fencing,1990-09-04,True
Gold ,HEYDAROV Hidayat,Male,AZE,Azerbaijan,Judo,1997-07-27,True
Silver ,GABA Joan-Benjamin,Male,FRA,France,Judo,2001-01-07,True
Bronze ,OSMANOV Adil,Male,MDA,Republic of Moldova,Judo,2000-07-02,True
Bronze ,HASHIMOTO Soichi,Male,JPN,Japan,Judo,1991-08-24,True
Gold ,DEGUCHI Christa,Female,CAN,Canada,Judo,1995-10-29,True
Silver ,HUH Mimi,Female,KOR,Korea,Judo,2002-12-19,True
Bronze ,FUNAKUBO Haruka,Female,JPN,Japan,Judo,1998-10-10,True
Bronze ,CYSIQUE Sarah Leonie,Female,FRA,France,Judo,1998-07-06,True
Gold ,SHENG Lihao,Male,CHN,China,Shooting,2004-12-04,True
Silver ,LINDGREN Victor,Male,SWE,Sweden,Shooting,2003-05-16,True
Bronze ,MARICIC Miran,Male,CRO,Croatia,Shooting,1997-06-17,True
Gold ,BAN Hyojin,Female,KOR,Korea,Shooting,2007-09-20,True
Silver ,HUANG Yuting,Female,CHN,China,Shooting,2006-09-03,True
Bronze ,GOGNIAT Audrey,Female,SUI,Switzerland,Shooting,2002-10-30,True
Gold ,HORIGOME Yuto,Male,JPN,Japan,Skateboarding,1999-01-07,True
Silver ,EATON Jagger,Male,USA,United States,Skateboarding,2001-02-21,True
Bronze ,HUSTON Nyjah,Male,USA,United States,Skateboarding,1994-11-30,True
Gold ,CECCON Thomas,Male,ITA,Italy,Swimming,2001-01-27,True
Silver ,XU Jiayu,Male,CHN,China,Swimming,1995-08-19,True
Bronze ,MURPHY Ryan,Male,USA,United States,Swimming,1995-07-02,True
Gold ,POPOVICI David,Male,ROU,Romania,Swimming,2004-09-15,True
Silver ,RICHARDS Matthew,Male,GBR,Great Britain,Swimming,2002-12-17,True
Bronze ,HOBSON Luke,Male,USA,United States,Swimming,2003-06-25,True
Gold ,SMITH Tatjana,Female,RSA,South Africa,Swimming,1997-07-09,True
Silver ,TANG Qianting,Female,CHN,China,Swimming,2004-03-14,True
Bronze ,Mc SHARRY Mona,Female,IRL,Ireland,Swimming,2000-08-21,True
Gold ,O'CALLAGHAN Mollie,Female,AUS,Australia,Swimming,2004-04-02,True
Silver ,TITMUS Ariarne,Female,AUS,Australia,Swimming,2000-09-07,True
Bronze ,HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China",Swimming,1997-10-31,True
Gold ,McINTOSH Summer,Female,CAN,Canada,Swimming,2006-08-18,True
Silver ,GRIMES Katie,Female,USA,United States,Swimming,2006-01-08,True
Bronze ,WEYANT Emma,Female,USA,United States,Swimming,2001-12-24,True
Gold ,NAGASE Takanori,Male,JPN,Japan,Judo,1993-10-14,True
Silver ,GRIGALASHVILI Tato,Male,GEO,Georgia,Judo,1999-12-01,True
Bronze ,LEE Joonhwan,Male,KOR,Korea,Judo,2002-06-19,True
Bronze ,MAKHMADBEKOV Somon,Male,TJK,Tajikistan,Judo,1999-03-24,True
Gold ,LESKI Andreja,Female,SLO,Slovenia,Judo,1997-01-08,True
Silver ,AWITI ALCARAZ Prisca,Female,MEX,Mexico,Judo,1996-02-20,True
Bronze ,AGBEGNENOU Clarisse,Female,FRA,France,Judo,1992-10-25,True
Bronze ,FAZLIU Laura,Female,KOS,Kosovo,Judo,2000-09-28,True
Gold ,HALES Nathan,Male,GBR,Great Britain,Shooting,1996-06-16,True
Silver ,QI Ying,Male,CHN,China,Shooting,1997-01-23,True
Bronze ,BROL CARDENAS Jean Pierre,Male,GUA,Guatemala,Shooting,1982-12-18,True
Gold ,WIFFEN Daniel,Male,IRL,Ireland,Swimming,2001-07-14,True
Silver ,FINKE Bobby,Male,USA,United States,Swimming,1999-11-06,True
Bronze ,PALTRINIERI Gregorio,Male,ITA,Italy,Swimming,1994-09-05,True
Gold ,McKEOWN Kaylee,Female,AUS,Australia,Swimming,2001-07-12,True
Silver ,SMITH Regan,Female,USA,United States,Swimming,2002-02-09,True
Bronze ,BERKOFF Katharine,Female,USA,United States,Swimming,2001-01-28,True
Gold ,OKA Shinnosuke,Male,JPN,Japan,Artistic Gymnastics,2003-10-31,True
Silver ,ZHANG Boheng,Male,CHN,China,Artistic Gymnastics,2000-03-04,True
Bronze ,XIAO Ruoteng,Male,CHN,China,Artistic Gymnastics,1996-01-30,True
Gold ,FOX Jessica,Female,AUS,Australia,Canoe Slalom,1994-06-11,True
Silver ,LILIK Elena,Female,GER,Germany,Canoe Slalom,1998-09-14,True
Bronze ,LEIBFARTH Evy,Female,USA,United States,Canoe Slalom,2004-01-26,True
